Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2005-01-03,18.3387393951416,18.48276159015641,18.277015784148343,18.379888033106567,65002900
2005-01-04,18.407318115234375,18.585630592725188,18.28387091481063,18.427893084668796,109442100
2005-01-05,18.36617660522461,18.585637798580382,18.3524599536169,18.407325251955843,72463500
2005-01-06,18.345596313476562,18.55819911944188,18.270156059579524,18.41417824355646,76890500
2005-01-07,18.290735244750977,18.441614479212276,18.256444925857167,18.393607509524216,68723300
2005-01-10,18.379886627197266,18.421036570106217,18.2015754402912,18.242724075108637,70376600
2005-01-11,18.331884384155273,18.393608006304632,18.249587093350694,18.304452389917696,64712000
2005-01-12,18.36617660522461,18.414183577759697,18.256446008546725,18.359318279420755,72940600
2005-01-13,18.01641273498535,18.379894904397684,17.94097244710335,18.29759759770105,89861600
2005-01-14,17.91352653503418,18.139845914817215,17.858661270483477,18.105554306916094,92180800
2005-01-18,18.050701141357422,18.071276119889053,17.7215093334031,17.85181491458617,69146400
2005-01-19,17.817522048950195,18.009551244328623,17.776373402830487,17.97525961581897,58114100
2005-01-20,17.735231399536133,17.89982735375713,17.65293276837945,17.721514742994625,58380100
2005-01-21,17.591201782226562,17.92039355331554,17.5843434568174,17.79694762022604,76501000
2005-01-24,17.604917526245117,17.83123702072293,17.584342551077405,17.6666411436565,69010900
2005-01-25,17.844951629638672,17.9615405260695,17.659780798585306,17.66663912285672,67580700
2005-01-26,17.838092803955078,17.94782337303007,17.762652547181684,17.87924144033531,64974500
2005-01-27,17.906675338745117,17.940965652199697,17.728362830979773,17.796944765980538,93204100
2005-01-28,17.95467758178711,18.27701089105269,17.803797102823047,18.201571959661926,110466500
2005-01-31,18.023263931274414,18.187859787640058,17.9409653490458,18.07127089253628,71442100
2005-02-01,18.098709106445312,18.126142412654666,17.982120171239632,18.00269515089665,57981700
2005-02-02,18.146711349487305,18.174144648538924,18.0232654280301,18.11927935852738,79329500
2005-02-03,17.95467758178711,18.105556752659904,17.89981230982507,18.08498309323118,62545400
2005-02-04,18.050701141357422,18.084992772243474,17.927253886351558,17.947828864883192,61246500
2005-02-07,17.940977096557617,18.03699108195002,17.87239511780914,18.016417403990186,57763400
2005-02-08,17.995840072631836,18.064422042442374,17.94097475840186,17.961549741772703,61343700
2005-02-09,17.87923812866211,18.043833951787413,17.858664468328524,18.002685323028917,77874800
2005-02-10,17.87238883972168,17.920395815554325,17.831240190163978,17.899822144821467,71796400
2005-02-11,17.81065559387207,17.91352912435425,17.70092504890961,17.851805529301455,83835900
2005-02-14,17.838092803955078,17.913533060728472,17.76951087126032,17.783227519417583,58694000
2005-02-15,17.838090896606445,17.94128051474406,17.789935828950703,17.886245964262187,76551600
2005-02-16,17.741777420043945,17.838087537217657,17.65922495380438,17.796811960161346,57506600
2005-02-17,17.645475387573242,17.789941952394223,17.611079273730343,17.68675098661025,67024800
2005-02-18,17.52852439880371,17.645473007071047,17.47348983680305,17.63859352280503,77091100
2005-02-22,17.356538772583008,17.53540140180793,17.335901634832577,17.37029773916814,96419200
2005-02-23,17.33590316772461,17.439092801982905,17.315264716021996,17.363419791200705,83689400
2005-02-24,17.452856063842773,17.501011150869445,17.301510005041564,17.322148461822014,85236300
2005-02-25,17.37030029296875,17.459730964665773,17.301506762056253,17.425334855273256,62467700
2005-02-28,17.308382034301758,17.452848545274296,17.287743586412212,17.349657617953707,82728000
2005-03-01,17.390941619873047,17.480372306349203,17.287750650387434,17.32902756303275,56394800
2005-03-02,17.37718391418457,17.528528668520092,17.308390366894688,17.329028824719988,67739000
2005-03-03,17.315269470214844,17.411579647015813,17.294631012845603,17.404700161226067,52183600
2005-03-04,17.315269470214844,17.404700161226067,17.287751527055853,17.342786101246087,63058200
2005-03-07,17.52164649963379,17.74178607967882,17.3083877166047,17.315267201493068,80407400
2005-03-08,17.473485946655273,17.624831942558302,17.432210362375887,17.473485946655273,52871800
2005-03-09,17.41157341003418,17.590436040114177,17.390936272185094,17.46660796451054,62991800
2005-03-10,17.4941349029541,17.528531025159573,17.37030676360968,17.4941349029541,59132900
2005-03-11,17.260229110717773,17.528522405952284,17.239590660266156,17.507885267627973,60617900
2005-03-14,17.273990631103516,17.301507256979168,17.170799675719177,17.253352177601148,65550500
2005-03-15,17.136404037475586,17.36342178374629,17.12264506809493,17.267111622336763,71469400
2005-03-16,16.943775177001953,17.177672308219567,16.8956201168325,17.074482706124027,74841400
2005-03-17,16.881874084472656,16.978184271097486,16.874994597981186,16.9506663251316,60573200
2005-03-18,16.723642349243164,17.136402201548666,16.7030052095107,16.874988371960708,135904000
2005-03-21,16.647966384887695,16.75803547568637,16.613568973933695,16.75115599349557,71446200
2005-03-22,16.503503799438477,16.69612541010905,16.482865347968545,16.641090851649942,102113300
2005-03-23,16.63421058654785,16.778675803669984,16.482864573798214,16.503503024298794,79293300
2005-03-24,16.703004837036133,16.833711092851683,16.64797027876449,16.675486901836628,78820900
2005-03-28,16.647966384887695,16.833707155531044,16.634207420506094,16.785552092322504,49802000
2005-03-29,16.45535659790039,16.675494937062457,16.386563038880247,16.60670137804231,74231700
2005-03-30,16.620460510253906,16.641098971794523,16.510391339626636,16.53790928834746,59585700
2005-03-31,16.62733268737793,16.7236428413029,16.59293657872685,16.682367248496117,62382300
2005-04-01,16.592947006225586,16.751171304857277,16.57918802926763,16.67549824371679,64619600
2005-04-04,16.668607711791992,16.68924616355534,16.46910792658921,16.58605652899339,62196400
2005-04-05,16.833709716796875,16.854348166509435,16.59293436411998,16.661726572240656,73549600
2005-04-06,16.971294403076172,17.157036488341742,16.81994972922668,16.83370738166603,78020200
2005-04-07,17.26711082458496,17.287747965574958,16.943781619715207,16.964420072832684,77451500
2005-04-08,17.157041549682617,17.37030031486547,17.136403096744612,17.246472221492372,47956300
2005-04-11,17.17767333984375,17.273984778093727,17.102001660230197,17.21895023286248,47791800
2005-04-12,17.41846466064453,17.4391031245635,17.060739158818123,17.14329170236582,67517800
2005-04-13,17.22583770751953,17.507890046712905,17.191440280710786,17.356543993009762,60929300
2005-04-14,17.08824920654297,17.29462850175925,17.081369721752086,17.205197823732878,66754400
2005-04-15,16.826828002929688,17.129518664618416,16.79243190342903,16.909380478709192,100251600
2005-04-18,16.95754051208496,17.088248090318665,16.78555733992968,16.81995476163722,75766400
2005-04-19,16.943775177001953,17.06072374261076,16.819948441763493,16.99880971892804,65956200
2005-04-20,16.73052406311035,16.991939239668213,16.716765093369922,16.964421300187354,91923500
2005-04-21,17.390941619873047,17.466613335467432,16.83371510831039,16.840594593751277,93562300
2005-04-22,17.184560775756836,17.370302943929293,17.046975005061718,17.23271586110651,80087500
2005-04-25,17.19144058227539,17.390941724882673,17.102009895259233,17.246475154007108,75457900
2005-04-26,17.033206939697266,17.37029366928963,17.019447976335872,17.16391446737658,60464300
2005-04-27,17.19144058227539,17.301509725738825,16.943784353418817,16.964422809866093,47732800
2005-04-28,16.819955825805664,17.143283737548074,16.813076341028903,17.074490201908024,83623100
2005-04-29,17.404693603515625,17.404693603515625,17.0538491453233,17.115761869848164,98641200
